score,label,bin_index,bin_left,bin_right,right_closed,x_mean,n,positive,proportion,CI_low,CI_high,label_definition_en,label_definition_zh
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,1,0.0,0.0117647058823529,False,5.805743458606495e-05,441784,551,0.0012472158339822,0.0011473885930303,0.001355716642209,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,2,0.0117647058823529,0.0235294117647058,False,0.0193961726080274,4677,3,0.0006414368184733,0.0002181698427037,0.001884327946908,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,3,0.0235294117647058,0.0352941176470588,False,0.0313329925594557,7281,5,0.0006867188572998,0.000293359794668,0.0016066759025995,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,4,0.0352941176470588,0.0470588235294117,False,0.0414443709505074,11347,11,0.0009694192297523,0.0005414100224741,0.001735201708422,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,5,0.0470588235294117,0.0588235294117647,False,0.0543014749833756,5476,1,0.0001826150474799,3.223676734676365e-05,0.0010337537115002,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,6,0.0588235294117647,0.0705882352941176,False,0.0658965968295618,10527,7,0.0006649567778094,0.000322147175194,0.0013720630064387,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,7,0.0705882352941176,0.0823529411764705,False,0.0762220208079368,9604,20,0.0020824656393169,0.0013485282497416,0.0032145631593536,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,8,0.0823529411764705,0.0941176470588235,False,0.0898104807015949,11357,10,0.0008805142203046,0.0004783618409248,0.0016202026806478,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,9,0.0941176470588235,0.1058823529411764,False,0.1010922633404172,11960,10,0.0008361204013377,0.0004542405206566,0.0015385524215397,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,10,0.1058823529411764,0.1176470588235294,False,0.11394636862789,9902,18,0.0018178145829125,0.0011502028714298,0.0028718137322396,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,11,0.1176470588235294,0.1294117647058823,False,0.1234957682881132,8714,14,0.0016066100527886,0.0009572963803635,0.0026951511860552,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,12,0.1294117647058823,0.1411764705882353,False,0.1343124007853223,15993,10,0.0006252735571812,0.0003396818836105,0.0011507035079098,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,13,0.1411764705882353,0.1529411764705882,False,0.1479021100916076,6673,18,0.0026974374344372,0.0017069889375627,0.0042601227673377,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,14,0.1529411764705882,0.1647058823529411,False,0.1568573384270611,9680,12,0.0012396694214876,0.0007093063672033,0.0021657364491301,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,15,0.1647058823529411,0.1764705882352941,False,0.1670673845970861,19245,43,0.0022343465835281,0.0016593136013772,0.0030080560693062,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,16,0.1764705882352941,0.188235294117647,False,0.1826928025852241,9557,15,0.0015695301872972,0.0009514190991974,0.002588170900956,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
power_availability,strict_own_traceroute_target_preceding_public_intermediate_hop,17,0.188235294117647,0.2,False,0.193361591121084,5365,14,0.0026095060577819,0.0015551062621104,0.0043756814254977,Public intermediate-hop IP strictly observed before the target in contemporaneous own-traceroute paths,从同期自有 traceroute 路径中严格提取的目标前公网中间跳 IP
